id,host_id,host_name,host_since,host_response_rate,host_listings_count,host_total_listings_count,city,state,zipcode,country,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month
241032,956883,Maija,11-08-2011,96%,3,3,Seattle,WA,98119,United States,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer}",85,,,,,2,5,1,365,207,95,moderate,4.07
953595,5177328,Andrea,21-02-2013,98%,6,6,Seattle,WA,98119,United States,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150,"1,000.00","3,000.00",100,40,1,0,2,90,43,96,strict,1.48
3308979,16708587,Jill,12-06-2014,67%,2,2,Seattle,WA,98119,United States,House,Entire home/apt,11,4.5,5,7,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",975,,,"1,000.00",300,10,25,4,30,20,97,strict,1.15
7421966,9851441,Emily,06-11-2013,N/A,1,1,Seattle,WA,98119,United States,Apartment,Entire home/apt,3,1,0,2,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",100,650,"2,300.00",,,1,0,1,1125,0,,flexible,
278830,1452570,Emily,29-11-2011,100%,2,2,Seattle,WA,98119,United States,House,Entire home/apt,6,2,3,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",450,,,700,125,6,15,1,1125,38,92,strict,0.89
5956968,326758,Andrew,25-12-2010,N/A,1,1,Seattle,WA,98119,United States,House,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",Essentials,Shampoo}",120,800,,,40,1,30,1,6,17,95,strict,2.45
1909058,2497928,Gary And Beth,30-05-2012,100%,1,1,Seattle,WA,98119,United States,House,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",80,575,,150,,1,10,3,14,58,99,moderate,2.46
856550,4016632,Jean-Marc,30-10-2012,100%,5,5,Seattle,WA,98119,United States,Cabin,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Essentials,Shampoo}",60,360,,150,25,1,0,2,7,173,97,strict,4.73
4948745,2166277,Aliza,18-04-2012,N/A,1,1,Seattle,WA,98109,United States,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",90,500,"1,700.00",,,1,0,3,1125,8,97,strict,1.22
2493658,5177328,Andrea,21-02-2013,98%,6,6,Seattle,WA,98119,United States,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150,"1,000.00","3,000.00",100,40,1,0,2,365,32,97,strict,1.55
